guid,Country,Country:sv,Country info,Country info:sv,Capital,Capital:sv,Capital info,Capital info:sv,Capital hint,Capital hint:sv,Flag,Flag similarity,Flag similarity:sv,Map,tags
cBPu]M1k/$,Canada,Kanada, , ,Ottawa,Ottawa,,,,,"<img src=""ug-flag-canada.svg"" />",,,"<img src=""ug-map-canada.png"" />",UG::North_America UG::Sovereign_State
~C-y];LuK3,United States of America,USA, ,"Formellt Amerikas förenta stater, även känt som Förenta staterna","Washington, D.C.","Washington, D.C.",,,,,"<img src=""ug-flag-united_states_of_america.svg"" />",,,"<img src=""ug-map-united_states_of_america.png"" />",UG::North_America UG::Sovereign_State
"q9/,0kK9h>",Mexico,Mexiko, , ,Mexico City,Mexico City,,,,,"<img src=""ug-flag-mexico.png"" />",,,"<img src=""ug-map-mexico.png"" />",UG::North_America UG::Sovereign_State
rcI^]YY+!g,Puerto Rico,Puerto Rico,Unincorporated territory of the United States., ,San Juan,San Juan,,,,,"<img src=""ug-flag-puerto_rico.svg"" />","Cuba (red triangle, blue stripes)",,"<img src=""ug-map-puerto_rico.png"" />",UG::Caribbean UG::North_America
p>MR5vWbwJ,Cuba,Kuba, , ,Havana,Havanna,,,,,"<img src=""ug-flag-cuba.svg"" />","Puerto Rico (blue triangle, red stripes)",,"<img src=""ug-map-cuba.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
j$5&q7O&%>,Dominican Republic,Dominikanska republiken, , ,Santo Domingo,Santo Domingo,,,,,"<img src=""ug-flag-dominican_republic.png"" />",,,"<img src=""ug-map-dominican_republic.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
f}r?r8kW=^,Haiti,Haiti, , ,Port-au-Prince,Port-au-Prince,,,,,"<img src=""ug-flag-haiti.svg"" />",,,"<img src=""ug-map-haiti.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
fnDvVbeE_Z,Jamaica,Jamaica, , ,Kingston,Kingston,,,,,"<img src=""ug-flag-jamaica.svg"" />",,,"<img src=""ug-map-jamaica.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
re`5rw99TD,Trinidad and Tobago,Trinidad och Tobago, , ,Port of Spain,Port of Spain,,,,,"<img src=""ug-flag-trinidad_and_tobago.svg"" />",,,"<img src=""ug-map-trinidad_and_tobago.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
e%!;xc:jxC,Bermuda,Bermuda,Overseas territory of the United Kingdom., , , ,,,,,,,,"<img src=""ug-map-bermuda.png"" />",UG::Caribbean UG::North_America
